Ticker,forwardPE,sector_Basic Materials,sector_Communication Services,sector_Consumer Cyclical,sector_Consumer Defensive,sector_Energy,sector_Financial Services,sector_Healthcare,sector_Industrials,sector_Real Estate,sector_Technology,sector_Utilities,marketCapLevel_high,marketCapLevel_low,marketCapLevel_mid,growthValueType_growth,growthValueType_neutral,growthValueType_value
AAPL,24.284006,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
MSFT,31.318394,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
AMZN,35.108128,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
JPM,15.997313,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
JNJ,14.778301,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
XOM,13.618806,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
GOOG,20.11732,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
GOOGL,19.924107,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
BAC,12.292869,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
V,29.229856,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
PFE,8.2815695,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
T,12.734375,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
CVX,13.020833,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
HD,23.51923,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
CSCO,16.652563,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
WFC,13.69399,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
VZ,9.341036,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
PG,21.920485,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
MA,35.919415,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
MRK,8.638298,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
C,10.810153,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
KO,24.355219,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
NVDA,34.692963,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
CMCSA,8.078767,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
NFLX,50.191128,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
PEP,15.216547,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
ABBV,15.725061,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
IBM,25.954288,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
ORCL,24.674582,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
WMT,35.59191,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
MDT,15.049573,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
ADBE,20.240147,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
PM,24.942778,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
MCD,23.858448,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
ABT,25.987017,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
HON,20.52089,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
